,0,1,2,3
0,50_1912_VISIT_AFF.adj,78,0.0033300033300033,-587669797008.8842
1,tortoise_sah_network_BSV_aggregate_year_1996_season_active.adj,74,0.002591632728619,-6345074682.820943
2,tortoise_sah_network_CS_aggregate_year_2015_season_active.adj,70,0.0041407867494824,-511803.61433644017
3,CAVIAR5.adj,25,0.0866666666666666,-0.1152223263079282
4,l4.adj,21,0.0952380952380952,-0.0935201969355323
5,morrissey_godparent.adj,43,0.0487264673311184,-0.0818703364544012
6,CAVIAR2.adj,21,0.1095238095238095,-0.0811795744875436
7,TRK26-4-12.adj,14,0.1868131868131868,-0.0774413330130186
8,50_1911_VISIT_AFF.adj,85,0.015126050420168,-0.0750688161953036
9,CIELNET.adj,22,0.1082251082251082,-0.0735091975907718
